Index,Output,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,,,,,
166,1,16.08518937,3.984,1440.00,3.68,613,5239,4.523,0.826,292.10519,42.380322,,,,,
167,1,235.9986399,8.2284,20700.00,10.59,188,4245,4.627,0.657,293.00797,42.307201,,,,,
168,1,7.49018305,2.7297,1120.00,2.56,753,5103,4.562,0.787,291.63898,42.436321,,,,,
169,1,36.2761238,4.7865,1570.00,3.03,445,5103,4.562,0.787,291.63898,42.436321,,,,,
170,1,17.46087931,2.2641,812.00,2.32,568,5103,4.562,0.787,291.63898,42.436321,,,,,
171,1,56.0560754,4.685,1630.00,1.94,233,3593,4.757,0.491,289.50848,41.812119,,,,,
172,1,41.40831669,5.0264,22800.00,11.38,453,5522,4.586,0.747,291.76041,41.944069,,,,,
173,1,39.74893077,7.3051,15200.00,14.21,552,6122,4.487,0.964,293.17929,41.969238,,,,,
174,1,5.715425977,2.5242,908.00,2.47,850,5237,4.572,0.826,285.11047,42.033958,,,,,
175,1,49.18394185,11.3364,1650.00,8.2,669,5626,3.907,2.057,294.55917,46.062328,,,,,
176,1,20.0261412,1.611,421.00,2.28,559,5237,4.572,0.826,285.11047,42.033958,,,,,
177,1,13.61014819,2.594,5730.00,19.02,733,5697,4.46,0.903,289.89777,42.009151,,,,,
178,0,10.44331991,2.743,1160.00,2.66,667,4947,4.516,0.802,286.24356,42.148811,,,,,
179,1,2.237489571,1.8119,316.00,1.41,1160,5265,4.58,0.81,290.00757,42.116459,,,,,
180,0,5.851520671,3.11058,33000.00,14.62,901,5532,4.53,0.806,284.08731,42.233231,,,,,
181,1,3.167893418,2.1814,781.00,2.62,1221,5895,4.503,0.94,293.81647,42.212502,,,,,
182,1,4.311780262,2.7251,1150.00,3.11,1038,5527,4.484,0.927,287.24268,42.301369,,,,,
183,1,20.0504494,4.556,841.00,2.69,622,5527,4.484,0.927,287.24268,42.301369,,,,,
184,1,9.76734503,1.6585,569.00,2.67,791,5527,4.484,0.927,287.24268,42.301369,,,,,
185,1,119.0207044,8.1405,7430.00,8.98,366,5453,4.342,1.062,291.58377,42.36816,,,,,
186,1,190.3200468,15.284,1140.00,7.78,426,5626,3.907,2.057,294.55917,46.062328,,,,,
187,0,2.861159894,1.8832,1010.00,4.37,1355,6126,4.458,1.021,291.67172,42.343109,,,,,
188,1,26.44439337,3.9783,1840.00,3.91,562,5427,4.463,0.929,292.87338,42.966141,,,,,
189,1,51.53997972,6.3994,3640.00,5.51,450,5427,4.463,0.929,292.87338,42.966141,,,,,
190,1,5.902245782,2.9003,702.00,2.43,926,5427,4.463,0.929,292.87338,42.966141,,,,,
191,1,2.382951591,1.8876,392.00,1.86,1253,5427,4.463,0.929,292.87338,42.966141,,,,,
192,1,21.02250608,4.1072,1770.00,3.07,521,5067,4.585,0.75,294.90973,42.935261,,,,,
193,1,3.219814777,2.0642,488.00,1.69,998,5103,4.562,0.787,291.63898,42.436321,,,,,
194,1,5.912273234,2.3254,961.00,1.73,585,4072,4.696,0.57,292.13702,42.42942,,,,,
195,1,8.98581901,2.8606,881.00,1.65,509,4072,4.696,0.57,292.13702,42.42942,,,,,
196,1,12.94066866,2.4845,42500.00,22.94,723,5875,4.572,0.809,291.11969,42.507069,,,,,
197,0,20.5452375,2.517,219.00,2.41,742,5670,4.206,1.264,294.40192,50.172089,,,,,
198,1,33.60123371,4.4056,7430.00,8.46,495,5149,4.447,0.93,289.26874,42.604172,,,,,
199,1,6.76652928,2.9004,451.00,1.97,845,5149,4.447,0.93,289.26874,42.604172,,,,,
200,1,4.347288783,2.1024,452.00,2.36,1174,5754,4.345,1.122,291.96417,42.69614,,,,,
201,1,4.601811819,2.2607,756.00,2.35,896,4986,4.496,0.833,296.48343,42.663429,,,,,
202,1,11.18719905,3.252,354.00,1.55,667,4986,4.496,0.833,296.48343,42.663429,,,,,
203,1,4.220965778,3.0854,2260.00,2.62,595,3837,4.747,0.517,296.69394,42.62611,,,,,
204,0,6.998099523,2.0488,20300.00,588.66,853,5612,4.566,0.829,287.88412,42.832439,,,,,
205,1,5.95489993,2.3892,1410.00,2.33,635,4261,4.641,0.633,293.63696,42.82497,,,,,
206,1,12.03987488,2.7363,1250.00,2.18,502,4261,4.641,0.633,293.63696,42.82497,,,,,
207,1,20.83762895,2.3734,439.00,1.42,418,4261,4.641,0.633,293.63696,42.82497,,,,,
208,0,8.8111022,5.0683,401.00,63.66,1399,6200,3.8,2.404,294.46088,38.383461,,,,,
209,1,23.58917143,5.073,1200.00,3.16,487,4919,4.566,0.721,297.46002,42.83992,,,,,
210,1,6.481633073,3.784,299.00,2.54,1145,5945,4.213,1.302,290.39273,40.28487,,,,,
211,1,10.37168928,3.035,1250.00,3.2,720,5121,4.457,0.888,290.39322,43.363899,,,,,
212,1,3.96996298,1.1757,299.00,1.78,992,5121,4.457,0.888,290.39322,43.363899,,,,,
213,1,4.40841331,5.012,549.00,2.66,1139,6007,4.457,0.961,292.96555,43.34639,,,,,
214,0,7.9426176,6.703,1590.00,4.68,878,5811,4.521,0.926,299.00143,43.399632,,,,,
215,1,226.8904775,7.558,3140.00,4.53,236,5067,4.585,0.75,294.90973,42.935261,,,,,
216,0,1.956811408,2.1958,24900.00,21.58,1109,5209,4.657,0.603,295.83536,42.943062,,,,,
217,1,2.688899233,2.11275,37500.00,12.04,929,4820,4.667,0.639,296.68307,42.967869,,,,,
218,1,9.439459486,2.8979,3040.00,4.16,686,5097,4.597,0.779,288.64252,43.039291,,,,,
219,1,11.52306746,3.8757,507.00,3.13,927,5644,4.162,1.411,284.48245,44.398041,,,,,
220,1,20.47748843,2.8364,1380.00,2.92,530,5097,4.597,0.779,288.64252,43.039291,,,,,
221,1,3.336123113,1.9616,516.00,1.74,970,5097,4.597,0.779,288.64252,43.039291,,,,,
222,1,8.01078456,2.312,1330.00,1.72,453,3713,4.779,0.47,294.77393,43.056301,,,,,
223,1,12.07134205,4.3224,759.00,1.29,395,3713,4.779,0.47,294.77393,43.056301,,,,,
224,1,20.99587872,2.6333,767.00,1.3,328,3713,4.779,0.47,294.77393,43.056301,,,,,
225,1,7.41113177,2.5242,621.00,2.45,905,5849,4.517,0.919,295.65149,43.029831,,,,,
226,0,1.000747038,0.9967,1820.00,4.14,1620,5472,4.499,0.79,297.97513,43.164909,,,,,
227,1,8.884922995,2.07004,16100.00,10.51,770,5332,4.5,0.843,291.1376,36.577381,,,,,
228,1,8.09888906,4.20241,6910.00,8.95,986,6214,4.442,1.076,282.69952,43.272739,,,,,
229,1,10.00653012,5.344,936.00,3.52,876,6063,4.47,1.001,283.63077,43.379398,,,,,
230,1,17.85522168,7.41287,9070.00,13.16,911,6823,4.308,1.367,297.45374,41.01099,,,,,
231,1,12.73262407,2.2083,6470.00,4.87,432,3950,4.721,0.541,285.16748,43.876339,,,,,
232,1,83.92494032,6.7904,7960.00,4.78,226,3960,4.746,0.509,287.85239,43.897991,,,,,
233,1,5.007316661,4.2362,6930.00,6.96,998,5865,4.563,0.827,295.53613,43.884449,,,,,
234,1,2.211116989,1.6485,724.00,1.85,931,4500,4.656,0.646,285.16833,44.026459,,,,,
235,1,27.9541337,3.95,943.00,1.9,400,4500,4.656,0.646,285.16833,44.026459,,,,,
236,1,12.69104387,3.7727,252.00,2.57,1008,5869,4.024,1.626,292.92914,48.60281,,,,,
237,0,4.409409243,3.8636,12900.00,10.95,1101,5600,4.368,0.975,296.41019,43.455391,,,,,
238,1,16.23947096,4.0374,2590.00,4.14,598,5191,4.564,0.837,293.0614,43.58136,,,,,
239,1,6.308201629,2.9785,1330.00,2.96,819,5191,4.564,0.837,293.0614,43.58136,,,,,
240,1,2.052349884,2.0778,14300.00,13.12,1497,5855,4.393,1.08,299.56189,43.503559,,,,,
241,1,9.7704486,2.4517,1900.00,2.23,460,3906,4.73,0.509,282.23251,43.66563,,,,,
242,1,5.169804269,2.153,1040.00,1.66,569,3906,4.73,0.509,282.23251,43.66563,,,,,
243,1,21.22261195,6.5093,366.00,2.48,771,5945,4.213,1.302,290.39273,40.28487,,,,,
244,1,20.09017037,4.154,1430.00,2.25,362,3906,4.73,0.509,282.23251,43.66563,,,,,
245,1,7.11373257,2.1764,808.00,1.16,429,3561,4.855,0.411,296.98505,43.65852,,,,,
246,1,3.306551643,1.8177,509.00,0.91,554,3561,4.855,0.411,296.98505,43.65852,,,,,
247,1,15.36845737,2.4714,756.00,1.11,332,3561,4.855,0.411,296.98505,43.65852,,,,,
248,1,13.81020318,3.048,1310.00,4.56,833,5942,4.327,1.142,281.96063,43.70311,,,,,
249,1,4.093578461,2.5833,539.00,2.85,1182,6077,4.471,0.999,290.26328,44.55645,,,,,
250,1,105.145959,8.593,685.00,3.43,401,6077,4.471,0.999,290.26328,44.55645,,,,,
251,1,10.8484518,2.9993,1680.00,2.34,499,4201,4.682,0.591,295.57935,44.545959,,,,,
252,1,6.66833241,1.915,362.00,1.18,587,4201,4.682,0.591,295.57935,44.545959,,,,,
253,1,4.082274889,3.23015,17900.00,10.55,1016,5655,4.581,0.794,284.83047,44.658138,,,,,
254,1,3.886655224,3.1646,582.00,1.87,1010,5662,4.61,0.738,288.72665,44.60751,,,,,
255,1,42.1406089,5.083,896.00,1.85,349,4500,4.656,0.646,285.16833,44.026459,,,,,
256,1,4.617490562,2.2618,576.00,1.62,728,4500,4.656,0.646,285.16833,44.026459,,,,,
257,1,10.19849255,2.4283,634.00,1.75,559,4500,4.656,0.646,285.16833,44.026459,,,,,
258,0,5.795063956,3.2496,1690.00,4.33,950,5865,4.563,0.827,296.50754,44.036072,,,,,
259,1,7.15681552,2.5882,867.00,2.47,782,5029,4.494,0.838,289.59476,44.141949,,,,,
260,1,17.64830851,2.0873,763.00,2.43,579,5029,4.494,0.838,289.59476,44.141949,,,,,
261,1,4.14810719,2.535,175.00,1.08,938,5029,4.494,0.838,289.59476,44.141949,,,,,
262,1,16.51410989,4.1575,974.00,2.72,655,5527,4.488,0.866,296.56622,44.105862,,,,,
263,1,30.1329298,5.172,1020.00,3.14,536,5527,4.488,0.866,296.56622,44.105862,,,,,
